case_id,repeat,aggregation_level,aggregation_view,group_label,oof_unit_count,retained_oof_unit_count,dropped_oof_unit_count,retained_coverage,participant_count,total_participant_count,retained_participant_count,dropped_participant_count
compact_cnn__l2_legacy400_w5_fixed10,0,window,window_balanced_to_participant,R2,3452,3452,0,1.0,29,29,29,0
compact_cnn__l2_legacy400_w5_fixed10,0,window,window_balanced_to_participant,R3,3472,3472,0,1.0,29,29,29,0
compact_cnn__l2_legacy400_w5_fixed10,0,window,window_balanced_to_participant,R4,3483,3483,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,file,line_a_equal_files,ALL,145,145,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,file,line_a_equal_files,B,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,file,line_a_equal_files,R1,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,file,line_a_equal_files,R2,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,file,line_a_equal_files,R3,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,file,line_a_equal_files,R4,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,participant,participant_balanced_endpoint,ALL,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,role,line_b_equal_role_families,ALL,58,58,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,role,line_b_equal_role_families,B,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,role,line_b_equal_role_families,R,29,29,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,window,window_balanced_to_participant,ALL,17333,17333,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,window,window_balanced_to_participant,B,3479,3479,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,window,window_balanced_to_participant,R1,3447,3447,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,window,window_balanced_to_participant,R2,3452,3452,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,window,window_balanced_to_participant,R3,3472,3472,0,1.0,29,29,29,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,window,window_balanced_to_participant,R4,3483,3483,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,file,line_a_equal_files,ALL,145,145,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,file,line_a_equal_files,B,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,file,line_a_equal_files,R1,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,file,line_a_equal_files,R2,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,file,line_a_equal_files,R3,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,file,line_a_equal_files,R4,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,participant,participant_balanced_endpoint,ALL,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,role,line_b_equal_role_families,ALL,58,58,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,role,line_b_equal_role_families,B,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,role,line_b_equal_role_families,R,29,29,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,window,window_balanced_to_participant,ALL,17333,17333,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,window,window_balanced_to_participant,B,3479,3479,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,window,window_balanced_to_participant,R1,3447,3447,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,window,window_balanced_to_participant,R2,3452,3452,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,window,window_balanced_to_participant,R3,3472,3472,0,1.0,29,29,29,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,window,window_balanced_to_participant,R4,3483,3483,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,file,line_a_equal_files,ALL,145,145,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,file,line_a_equal_files,B,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,file,line_a_equal_files,R1,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,file,line_a_equal_files,R2,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,file,line_a_equal_files,R3,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,file,line_a_equal_files,R4,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,participant,participant_balanced_endpoint,ALL,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,role,line_b_equal_role_families,ALL,58,58,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,role,line_b_equal_role_families,B,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,role,line_b_equal_role_families,R,29,29,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,window,window_balanced_to_participant,ALL,17333,17333,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,window,window_balanced_to_participant,B,3479,3479,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,window,window_balanced_to_participant,R1,3447,3447,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,window,window_balanced_to_participant,R2,3452,3452,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,window,window_balanced_to_participant,R3,3472,3472,0,1.0,29,29,29,0
compact_cnn__l5_uniform_replacement_fixed10,0,window,window_balanced_to_participant,R4,3483,3483,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,file,line_a_equal_files,ALL,145,145,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,file,line_a_equal_files,B,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,file,line_a_equal_files,R1,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,file,line_a_equal_files,R2,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,file,line_a_equal_files,R3,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,file,line_a_equal_files,R4,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,participant,participant_balanced_endpoint,ALL,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,role,line_b_equal_role_families,ALL,58,58,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,role,line_b_equal_role_families,B,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,role,line_b_equal_role_families,R,29,29,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,window,window_balanced_to_participant,ALL,17333,17333,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,window,window_balanced_to_participant,B,3479,3479,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,window,window_balanced_to_participant,R1,3447,3447,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,window,window_balanced_to_participant,R2,3452,3452,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,window,window_balanced_to_participant,R3,3472,3472,0,1.0,29,29,29,0
compact_cnn__l6_v2_line_b_balance_fixed10,0,window,window_balanced_to_participant,R4,3483,3483,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,file,line_a_equal_files,ALL,145,145,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,file,line_a_equal_files,B,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,file,line_a_equal_files,R1,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,file,line_a_equal_files,R2,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,file,line_a_equal_files,R3,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,file,line_a_equal_files,R4,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,participant,participant_balanced_endpoint,ALL,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,role,line_b_equal_role_families,ALL,58,58,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,role,line_b_equal_role_families,B,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,role,line_b_equal_role_families,R,29,29,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,window,window_balanced_to_participant,ALL,17333,17333,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,window,window_balanced_to_participant,B,3479,3479,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,window,window_balanced_to_participant,R1,3447,3447,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,window,window_balanced_to_participant,R2,3452,3452,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,window,window_balanced_to_participant,R3,3472,3472,0,1.0,29,29,29,0
compact_cnn__l7_v2_training_bundle_fixed10,0,window,window_balanced_to_participant,R4,3483,3483,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,file,line_a_equal_files,ALL,145,145,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,file,line_a_equal_files,B,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,file,line_a_equal_files,R1,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,file,line_a_equal_files,R2,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,file,line_a_equal_files,R3,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,file,line_a_equal_files,R4,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,participant,participant_balanced_endpoint,ALL,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,role,line_b_equal_role_families,ALL,58,58,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,role,line_b_equal_role_families,B,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,role,line_b_equal_role_families,R,29,29,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,window,window_balanced_to_participant,ALL,12706,12706,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,window,window_balanced_to_participant,B,2560,2560,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,window,window_balanced_to_participant,R1,2525,2525,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,window,window_balanced_to_participant,R2,2528,2528,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,window,window_balanced_to_participant,R3,2544,2544,0,1.0,29,29,29,0
inception_full__l0_legacy64_w15_fixed10,0,window,window_balanced_to_participant,R4,2549,2549,0,1.0,29,29,29,0
