case_id,repeat,fold,status,selected_attempt,model_id,declared_seed_policy,runtime_seed_policy,seed_policy_relation,split_seed,training_orchestration_seed,training_seed,model_seed_roster,member_training_seeds,member_seed_semantics,evaluation_statistics_seed,epoch_rng_seed_count,epoch_rng_seed_roster_sha256,data_manifest_sha256,materialized_split_csv_sha256,declared_source_registry_json_file_sha256,runtime_registry_payload_sha256,split_identity_sha256,train_participant_count,oof_participant_count,train_oof_overlap_count,train_participant_roster_sha256,oof_participant_roster_sha256,audit_status
compact_cnn__l5_uniform_replacement_fixed10,0,0,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
compact_cnn__l5_uniform_replacement_fixed10,0,1,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,57bb106ec2ff5d3c168e33998b4a7936c39cbbb1e996b929652dd6e1a36da8e8,23,6,0,e658965a570173690f5a6b5e442541bcf870888938c22cc76c1de36a17bc0883,c2be8e1e67355857db696dd7cc27a2792b3cc19d715eb17764f845b4319a9de6,PASS
compact_cnn__l5_uniform_replacement_fixed10,0,2,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,dc46fdbd11329275083d417b2d5d720396b21cbc072994433e7dc7a6b06a666d,23,6,0,9bfaf988c23f38949bb1471a4ceda40581f4c459889b55aa0bd7d96efc6dd2ff,4dc466afd9c1c36a6c8617d288c33193a358bde2d170cfbdec68a23b8d0042a9,PASS
compact_cnn__l5_uniform_replacement_fixed10,0,3,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,0f885f271eff150fced6d2c9acdddbf0fcdf8f994d2e0bed36169eee28c2bc90,23,6,0,982a34eea9b418515c1f4dca3fd8538d737f014b472f7b6b1689625b4d1233cf,4bf7304ba29f5f0670bf819dd1d0f8c1fc4254200c656ac0642ec0da3c60d3f0,PASS
compact_cnn__l5_uniform_replacement_fixed10,0,4,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,d94e3292b845a0950210e2e3294bf00e43a1f33c65c16b35be9d37b8362422ad,24,5,0,cc75a28be4c511969e177744cfc7bc7118967490d79884b9ef0ab5485bcd5213,88ebc817e6468307ee1ed5f11f46605039f7626a3087436152c96b3c4c6d1d06,PASS
compact_cnn__l6_v2_line_b_balance_fixed10,0,0,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
compact_cnn__l6_v2_line_b_balance_fixed10,0,1,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,57bb106ec2ff5d3c168e33998b4a7936c39cbbb1e996b929652dd6e1a36da8e8,23,6,0,e658965a570173690f5a6b5e442541bcf870888938c22cc76c1de36a17bc0883,c2be8e1e67355857db696dd7cc27a2792b3cc19d715eb17764f845b4319a9de6,PASS
compact_cnn__l6_v2_line_b_balance_fixed10,0,2,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,dc46fdbd11329275083d417b2d5d720396b21cbc072994433e7dc7a6b06a666d,23,6,0,9bfaf988c23f38949bb1471a4ceda40581f4c459889b55aa0bd7d96efc6dd2ff,4dc466afd9c1c36a6c8617d288c33193a358bde2d170cfbdec68a23b8d0042a9,PASS
compact_cnn__l6_v2_line_b_balance_fixed10,0,3,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,0f885f271eff150fced6d2c9acdddbf0fcdf8f994d2e0bed36169eee28c2bc90,23,6,0,982a34eea9b418515c1f4dca3fd8538d737f014b472f7b6b1689625b4d1233cf,4bf7304ba29f5f0670bf819dd1d0f8c1fc4254200c656ac0642ec0da3c60d3f0,PASS
compact_cnn__l6_v2_line_b_balance_fixed10,0,4,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,d94e3292b845a0950210e2e3294bf00e43a1f33c65c16b35be9d37b8362422ad,24,5,0,cc75a28be4c511969e177744cfc7bc7118967490d79884b9ef0ab5485bcd5213,88ebc817e6468307ee1ed5f11f46605039f7626a3087436152c96b3c4c6d1d06,PASS
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,0,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,1,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,57bb106ec2ff5d3c168e33998b4a7936c39cbbb1e996b929652dd6e1a36da8e8,23,6,0,e658965a570173690f5a6b5e442541bcf870888938c22cc76c1de36a17bc0883,c2be8e1e67355857db696dd7cc27a2792b3cc19d715eb17764f845b4319a9de6,PASS
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,2,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,dc46fdbd11329275083d417b2d5d720396b21cbc072994433e7dc7a6b06a666d,23,6,0,9bfaf988c23f38949bb1471a4ceda40581f4c459889b55aa0bd7d96efc6dd2ff,4dc466afd9c1c36a6c8617d288c33193a358bde2d170cfbdec68a23b8d0042a9,PASS
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,3,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,0f885f271eff150fced6d2c9acdddbf0fcdf8f994d2e0bed36169eee28c2bc90,23,6,0,982a34eea9b418515c1f4dca3fd8538d737f014b472f7b6b1689625b4d1233cf,4bf7304ba29f5f0670bf819dd1d0f8c1fc4254200c656ac0642ec0da3c60d3f0,PASS
compact_cnn__l4_v2_imu_fold_scaled_fixed10,0,4,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,d94e3292b845a0950210e2e3294bf00e43a1f33c65c16b35be9d37b8362422ad,24,5,0,cc75a28be4c511969e177744cfc7bc7118967490d79884b9ef0ab5485bcd5213,88ebc817e6468307ee1ed5f11f46605039f7626a3087436152c96b3c4c6d1d06,PASS
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,0,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,1,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,57bb106ec2ff5d3c168e33998b4a7936c39cbbb1e996b929652dd6e1a36da8e8,23,6,0,e658965a570173690f5a6b5e442541bcf870888938c22cc76c1de36a17bc0883,c2be8e1e67355857db696dd7cc27a2792b3cc19d715eb17764f845b4319a9de6,PASS
compact_cnn__l3_v2_imu_window_scaled_fixed10,0,2,passed,1,compact_cnn,outer_cv_repeat_seed_equals_split_seed,legacy_bridge_fixed_training_seed_42,numeric_equivalent_but_policy_different,42,42,42,[42],,N/A_single_model_training_seed_alias,42,10,37c66bf9e402b644ab91659d4c1e12c7f5e232d903e2ff1867a4ee5272b369cc,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,dc46fdbd11329275083d417b2d5d720396b21cbc072994433e7dc7a6b06a666d,23,6,0,9bfaf988c23f38949bb1471a4ceda40581f4c459889b55aa0bd7d96efc6dd2ff,4dc466afd9c1c36a6c8617d288c33193a358bde2d170cfbdec68a23b8d0042a9,PASS
