case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,balance_line,declared_source_line,view_role,quality_weighting,quality_weight_source,metric_source
compact_cnn__b0_star_fixed10,0,0,Pre-Frail,0.5,0.4444444444444444,0.8,0.6222222222222222,0.47058823529411764,0.6777777777777777,0.6275903109236443,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,0,1,Robust/Non-Frail,0.4,0.3333333333333333,0.6470588235294118,0.4901960784313726,0.36363636363636365,0.5,0.45215597253330325,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,0,2,Young,0.36363636363636365,0.5,0.6666666666666666,0.5833333333333333,0.42105263157894735,0.7023809523809523,0.45068473193473196,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,1,0,Pre-Frail,0.5333333333333333,0.8888888888888888,0.65,0.7694444444444444,0.6666666666666666,0.8444444444444444,0.7726190476190478,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,1,1,Robust/Non-Frail,0.5833333333333334,0.5833333333333334,0.7058823529411765,0.6446078431372549,0.5833333333333334,0.6666666666666667,0.5947945529988873,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,1,2,Young,1.0,0.25,1.0,0.625,0.4,0.7261904761904763,0.7231060606060606,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,2,0,Pre-Frail,0.625,0.5555555555555556,0.85,0.7027777777777777,0.5882352941176471,0.7722222222222221,0.7584880074582592,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,2,1,Robust/Non-Frail,0.5454545454545454,0.5,0.7058823529411765,0.6029411764705883,0.5217391304347826,0.5931372549019607,0.556980056980057,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,2,2,Young,0.6,0.75,0.8095238095238095,0.7797619047619048,0.6666666666666666,0.75,0.6180599067112225,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,3,0,Pre-Frail,0.5555555555555556,0.5555555555555556,0.8,0.6777777777777778,0.5555555555555556,0.6944444444444445,0.632070707070707,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,3,1,Robust/Non-Frail,0.5,0.5,0.6470588235294118,0.5735294117647058,0.5,0.5980392156862745,0.48460271754389406,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,3,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.75,0.6199810606060605,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,4,0,Pre-Frail,0.5,0.6666666666666666,0.7,0.6833333333333333,0.5714285714285714,0.75,0.641003603284305,9,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,4,1,Robust/Non-Frail,0.45454545454545453,0.4166666666666667,0.6470588235294118,0.5318627450980392,0.43478260869565216,0.5784313725490197,0.5249320532408768,12,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,4,2,Young,0.6666666666666666,0.5,0.9047619047619048,0.7023809523809523,0.5714285714285714,0.7738095238095238,0.690546679197995,8,line_a_equal_files,line_a_equal_files,declared_source_line,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,0,0,Pre-Frail,0.5,0.5555555555555556,0.75,0.6527777777777778,0.5263157894736842,0.6833333333333333,0.6031240364573698,9,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,0,1,Robust/Non-Frail,0.4,0.3333333333333333,0.6470588235294118,0.4901960784313726,0.36363636363636365,0.47058823529411764,0.43551299128791926,12,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,0,2,Young,0.3333333333333333,0.375,0.7142857142857143,0.5446428571428572,0.35294117647058826,0.7083333333333334,0.4677926719486822,8,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,1,0,Pre-Frail,0.5333333333333333,0.8888888888888888,0.65,0.7694444444444444,0.6666666666666666,0.8388888888888889,0.7445727112393781,9,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
compact_cnn__b0_star_fixed10,1,1,Robust/Non-Frail,0.5833333333333334,0.5833333333333334,0.7058823529411765,0.6446078431372549,0.5833333333333334,0.6666666666666666,0.5903047932459696,12,line_b_equal_role_families,line_a_equal_files,posthoc_aggregation_only,False,none,per_repeat_file_oof_reaggregation
