case_id,repeat,fold,status,selected_attempt,model_id,declared_seed_policy,runtime_seed_policy,seed_policy_relation,split_seed,training_orchestration_seed,training_seed,model_seed_roster,member_training_seeds,member_seed_semantics,evaluation_statistics_seed,epoch_rng_seed_count,epoch_rng_seed_roster_sha256,data_manifest_sha256,materialized_split_csv_sha256,declared_source_registry_json_file_sha256,runtime_registry_payload_sha256,split_identity_sha256,train_participant_count,oof_participant_count,train_oof_overlap_count,train_participant_roster_sha256,oof_participant_roster_sha256,audit_status
b16_lr1e-3,0,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,42,42,42,[42],,N/A_single_model_training_seed_alias,42,5,1a614b22a752f3ddf725a874a3762f4c38a72605889c924296126892024ee4e1,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
b16_lr1e-3,1,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,10042,10042,10042,[10042],,N/A_single_model_training_seed_alias,42,5,e38210d7c63bc7b5983ed1f2218d3b7e3fcc003c12168055bb7bb1763046d71a,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7,22,7,0,7013380de279ad95e4d93890fdcc0e6b5db94cfc671e4f7bece9d7cc035e6c14,64b7a2e19812605374dbc26c7709cc09e70ce40ce4141db2b659cc5042da58e5,PASS
b16_lr1e-3,2,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,20042,20042,20042,[20042],,N/A_single_model_training_seed_alias,42,5,ac34108dcba0399d8a63abe81d8dfe2f569282a09570b26fb8a2389682d1dab3,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9,23,6,0,fc60e5aa3b3b3d6903ddf821d4a3e371a390e343524b89cf1365390c5f4773da,e17939bf59acacf62ef3b573d9e60bdd32a7cf013a079df58681cbe3bba3fac6,PASS
b16_lr1e-3,3,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,30042,30042,30042,[30042],,N/A_single_model_training_seed_alias,42,5,f2481bef86a6d9200d7047a62922245be6b01e2c85d569f52a3e69926bee82d6,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7,23,6,0,5a0f590a12c3b05e3c4292a7616072c046183899a09b5f31502e8aa535a004bc,c5f1f629913ad916cf9bdaf33c3ac44ccd11c6bed3ebd388ba570e2a27f55b86,PASS
b16_lr1e-3,4,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,40042,40042,40042,[40042],,N/A_single_model_training_seed_alias,42,5,e958f654d4dc0b3a4804fb6c1dfd75680b8a23b75d48a159611e05daab11e110,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a,23,6,0,8c6dc8ceda2588e64f93d8c6f68a3a7d7386ba7b19a27406845a0366ea228c3f,b9daa2e013315ca7a7b75d1e6cea6fb76813b965891e04cf359f398aa3e88add,PASS
b32_lr1e-4,0,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,42,42,42,[42],,N/A_single_model_training_seed_alias,42,5,1a614b22a752f3ddf725a874a3762f4c38a72605889c924296126892024ee4e1,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
b32_lr1e-4,1,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,10042,10042,10042,[10042],,N/A_single_model_training_seed_alias,42,5,e38210d7c63bc7b5983ed1f2218d3b7e3fcc003c12168055bb7bb1763046d71a,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7,22,7,0,7013380de279ad95e4d93890fdcc0e6b5db94cfc671e4f7bece9d7cc035e6c14,64b7a2e19812605374dbc26c7709cc09e70ce40ce4141db2b659cc5042da58e5,PASS
b32_lr1e-4,2,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,20042,20042,20042,[20042],,N/A_single_model_training_seed_alias,42,5,ac34108dcba0399d8a63abe81d8dfe2f569282a09570b26fb8a2389682d1dab3,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9,23,6,0,fc60e5aa3b3b3d6903ddf821d4a3e371a390e343524b89cf1365390c5f4773da,e17939bf59acacf62ef3b573d9e60bdd32a7cf013a079df58681cbe3bba3fac6,PASS
b32_lr1e-4,3,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,30042,30042,30042,[30042],,N/A_single_model_training_seed_alias,42,5,f2481bef86a6d9200d7047a62922245be6b01e2c85d569f52a3e69926bee82d6,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7,23,6,0,5a0f590a12c3b05e3c4292a7616072c046183899a09b5f31502e8aa535a004bc,c5f1f629913ad916cf9bdaf33c3ac44ccd11c6bed3ebd388ba570e2a27f55b86,PASS
b32_lr1e-4,4,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,40042,40042,40042,[40042],,N/A_single_model_training_seed_alias,42,5,e958f654d4dc0b3a4804fb6c1dfd75680b8a23b75d48a159611e05daab11e110,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a,23,6,0,8c6dc8ceda2588e64f93d8c6f68a3a7d7386ba7b19a27406845a0366ea228c3f,b9daa2e013315ca7a7b75d1e6cea6fb76813b965891e04cf359f398aa3e88add,PASS
b32_lr3e-4,0,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,42,42,42,[42],,N/A_single_model_training_seed_alias,42,5,1a614b22a752f3ddf725a874a3762f4c38a72605889c924296126892024ee4e1,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
b32_lr3e-4,1,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,10042,10042,10042,[10042],,N/A_single_model_training_seed_alias,42,5,e38210d7c63bc7b5983ed1f2218d3b7e3fcc003c12168055bb7bb1763046d71a,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7,22,7,0,7013380de279ad95e4d93890fdcc0e6b5db94cfc671e4f7bece9d7cc035e6c14,64b7a2e19812605374dbc26c7709cc09e70ce40ce4141db2b659cc5042da58e5,PASS
b32_lr3e-4,2,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,20042,20042,20042,[20042],,N/A_single_model_training_seed_alias,42,5,ac34108dcba0399d8a63abe81d8dfe2f569282a09570b26fb8a2389682d1dab3,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9,23,6,0,fc60e5aa3b3b3d6903ddf821d4a3e371a390e343524b89cf1365390c5f4773da,e17939bf59acacf62ef3b573d9e60bdd32a7cf013a079df58681cbe3bba3fac6,PASS
b32_lr3e-4,3,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,30042,30042,30042,[30042],,N/A_single_model_training_seed_alias,42,5,f2481bef86a6d9200d7047a62922245be6b01e2c85d569f52a3e69926bee82d6,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7,23,6,0,5a0f590a12c3b05e3c4292a7616072c046183899a09b5f31502e8aa535a004bc,c5f1f629913ad916cf9bdaf33c3ac44ccd11c6bed3ebd388ba570e2a27f55b86,PASS
b32_lr3e-4,4,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,40042,40042,40042,[40042],,N/A_single_model_training_seed_alias,42,5,e958f654d4dc0b3a4804fb6c1dfd75680b8a23b75d48a159611e05daab11e110,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,3e2e68f893d4f2e6a8be3f8273e21520ff9372870fc6efbf7e1a8d04feb8155a,23,6,0,8c6dc8ceda2588e64f93d8c6f68a3a7d7386ba7b19a27406845a0366ea228c3f,b9daa2e013315ca7a7b75d1e6cea6fb76813b965891e04cf359f398aa3e88add,PASS
b32_lr1e-3,0,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,42,42,42,[42],,N/A_single_model_training_seed_alias,42,5,1a614b22a752f3ddf725a874a3762f4c38a72605889c924296126892024ee4e1,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,PASS
b32_lr1e-3,1,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,10042,10042,10042,[10042],,N/A_single_model_training_seed_alias,42,5,e38210d7c63bc7b5983ed1f2218d3b7e3fcc003c12168055bb7bb1763046d71a,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7,22,7,0,7013380de279ad95e4d93890fdcc0e6b5db94cfc671e4f7bece9d7cc035e6c14,64b7a2e19812605374dbc26c7709cc09e70ce40ce4141db2b659cc5042da58e5,PASS
b32_lr1e-3,2,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,20042,20042,20042,[20042],,N/A_single_model_training_seed_alias,42,5,ac34108dcba0399d8a63abe81d8dfe2f569282a09570b26fb8a2389682d1dab3,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,317be2c61e13790a922ca40e02831c8730373692242fb7adf3f8ad0fda5999f9,23,6,0,fc60e5aa3b3b3d6903ddf821d4a3e371a390e343524b89cf1365390c5f4773da,e17939bf59acacf62ef3b573d9e60bdd32a7cf013a079df58681cbe3bba3fac6,PASS
b32_lr1e-3,3,0,passed,1,inception_full,outer_cv_repeat_seed_equals_split_seed,outer_cv_repeat_seed_equals_split_seed,same,30042,30042,30042,[30042],,N/A_single_model_training_seed_alias,42,5,f2481bef86a6d9200d7047a62922245be6b01e2c85d569f52a3e69926bee82d6,dd541751ea3dfac68f5c1db40f139ea1bc49a3d369c74165093f927fb3d05eda,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,0c98ab483932ce51b926081d2b42799ed4ca42eb0eb153a6cfd22cd68f8f21e7,23,6,0,5a0f590a12c3b05e3c4292a7616072c046183899a09b5f31502e8aa535a004bc,c5f1f629913ad916cf9bdaf33c3ac44ccd11c6bed3ebd388ba570e2a27f55b86,PASS
