case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,metric_source
b16_lr1e-3,2,1,Robust/Non-Frail,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333333,3,participant_oof_per_repeat
b16_lr1e-3,2,2,Young,0.5,1.0,0.8,0.9,0.6666666666666666,0.8,0.5,1,participant_oof_per_repeat
b16_lr1e-3,3,0,Pre-Frail,0.6666666666666666,1.0,0.75,0.875,0.8,0.75,0.5833333333333333,2,participant_oof_per_repeat
b16_lr1e-3,3,1,Robust/Non-Frail,1.0,0.6666666666666666,1.0,0.8333333333333333,0.8,0.7777777777777778,0.8666666666666667,3,participant_oof_per_repeat
b16_lr1e-3,3,2,Young,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,participant_oof_per_repeat
b16_lr1e-3,4,0,Pre-Frail,0.5,1.0,0.5,0.75,0.6666666666666666,1.0,1.0,2,participant_oof_per_repeat
b16_lr1e-3,4,1,Robust/Non-Frail,0.0,0.0,1.0,0.5,0.0,0.625,0.5,2,participant_oof_per_repeat
b16_lr1e-3,4,2,Young,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,participant_oof_per_repeat
b32_lr1e-4,0,0,Pre-Frail,0.0,0.0,1.0,0.5,0.0,0.75,0.5833333333333333,2,participant_oof_per_repeat
b32_lr1e-4,0,1,Robust/Non-Frail,0.4,1.0,0.25,0.625,0.5714285714285714,0.625,0.7,2,participant_oof_per_repeat
b32_lr1e-4,0,2,Young,0.0,0.0,0.75,0.375,0.0,0.375,0.41666666666666663,2,participant_oof_per_repeat
b32_lr1e-4,1,0,Pre-Frail,0.3333333333333333,1.0,0.2,0.6,0.5,0.8,0.75,2,participant_oof_per_repeat
b32_lr1e-4,1,1,Robust/Non-Frail,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,1.0,3,participant_oof_per_repeat
b32_lr1e-4,1,2,Young,0.0,0.0,1.0,0.5,0.0,0.6,0.6666666666666666,2,participant_oof_per_repeat
b32_lr1e-4,2,0,Pre-Frail,1.0,0.5,1.0,0.75,0.6666666666666666,1.0,1.0,2,participant_oof_per_repeat
b32_lr1e-4,2,1,Robust/Non-Frail,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333333,3,participant_oof_per_repeat
b32_lr1e-4,2,2,Young,0.25,1.0,0.4,0.7,0.4,0.8,0.5,1,participant_oof_per_repeat
b32_lr1e-4,3,0,Pre-Frail,0.0,0.0,0.75,0.375,0.0,0.75,0.5833333333333333,2,participant_oof_per_repeat
b32_lr1e-4,3,1,Robust/Non-Frail,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5714285714285714,0.7777777777777778,0.8666666666666667,3,participant_oof_per_repeat
b32_lr1e-4,3,2,Young,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,participant_oof_per_repeat
b32_lr1e-4,4,0,Pre-Frail,0.6666666666666666,1.0,0.75,0.875,0.8,0.875,0.8333333333333333,2,participant_oof_per_repeat
b32_lr1e-4,4,1,Robust/Non-Frail,0.5,0.5,0.75,0.625,0.5,0.625,0.7,2,participant_oof_per_repeat
b32_lr1e-4,4,2,Young,1.0,0.5,1.0,0.75,0.6666666666666666,1.0,1.0,2,participant_oof_per_repeat
b32_lr3e-4,0,0,Pre-Frail,0.0,0.0,1.0,0.5,0.0,0.625,0.5,2,participant_oof_per_repeat
b32_lr3e-4,0,1,Robust/Non-Frail,0.3333333333333333,1.0,0.0,0.5,0.5,0.375,0.41666666666666663,2,participant_oof_per_repeat
b32_lr3e-4,0,2,Young,0.0,0.0,1.0,0.5,0.0,0.5,0.6666666666666666,2,participant_oof_per_repeat
b32_lr3e-4,1,0,Pre-Frail,0.3333333333333333,0.5,0.6,0.55,0.4,0.8,0.75,2,participant_oof_per_repeat
b32_lr3e-4,1,1,Robust/Non-Frail,0.75,1.0,0.75,0.875,0.8571428571428571,0.9166666666666666,0.9166666666666665,3,participant_oof_per_repeat
b32_lr3e-4,1,2,Young,0.0,0.0,1.0,0.5,0.0,0.5,0.6428571428571428,2,participant_oof_per_repeat
b32_lr3e-4,2,0,Pre-Frail,1.0,0.5,1.0,0.75,0.6666666666666666,1.0,1.0,2,participant_oof_per_repeat
b32_lr3e-4,2,1,Robust/Non-Frail,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.4444444444444444,0.6666666666666667,3,participant_oof_per_repeat
b32_lr3e-4,2,2,Young,0.25,1.0,0.4,0.7,0.4,0.8,0.5,1,participant_oof_per_repeat
b32_lr3e-4,3,0,Pre-Frail,0.0,0.0,1.0,0.5,0.0,0.625,0.5,2,participant_oof_per_repeat
b32_lr3e-4,3,1,Robust/Non-Frail,0.6,1.0,0.3333333333333333,0.6666666666666666,0.75,0.4444444444444445,0.5333333333333333,3,participant_oof_per_repeat
b32_lr3e-4,3,2,Young,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,participant_oof_per_repeat
b32_lr3e-4,4,0,Pre-Frail,0.6666666666666666,1.0,0.75,0.875,0.8,0.875,0.8333333333333333,2,participant_oof_per_repeat
b32_lr3e-4,4,1,Robust/Non-Frail,1.0,0.5,1.0,0.75,0.6666666666666666,0.625,0.7,2,participant_oof_per_repeat
b32_lr3e-4,4,2,Young,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,participant_oof_per_repeat
b32_lr1e-3,0,0,Pre-Frail,0.0,0.0,0.75,0.375,0.0,0.625,0.5,2,participant_oof_per_repeat
b32_lr1e-3,0,1,Robust/Non-Frail,0.2,0.5,0.0,0.25,0.2857142857142857,0.5,0.6666666666666666,2,participant_oof_per_repeat
b32_lr1e-3,0,2,Young,0.0,0.0,1.0,0.5,0.0,0.75,0.75,2,participant_oof_per_repeat
b32_lr1e-3,1,0,Pre-Frail,0.3333333333333333,0.5,0.6,0.55,0.4,0.7,0.5,2,participant_oof_per_repeat
b32_lr1e-3,1,1,Robust/Non-Frail,0.75,1.0,0.75,0.875,0.8571428571428571,1.0,1.0,3,participant_oof_per_repeat
b32_lr1e-3,1,2,Young,0.0,0.0,1.0,0.5,0.0,0.7,0.7,2,participant_oof_per_repeat
b32_lr1e-3,2,0,Pre-Frail,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,participant_oof_per_repeat
b32_lr1e-3,2,1,Robust/Non-Frail,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.5555555555555556,0.7,3,participant_oof_per_repeat
b32_lr1e-3,2,2,Young,0.3333333333333333,1.0,0.6,0.8,0.5,1.0,1.0,1,participant_oof_per_repeat
b32_lr1e-3,3,0,Pre-Frail,0.0,0.0,0.75,0.375,0.0,0.75,0.5833333333333333,2,participant_oof_per_repeat
b32_lr1e-3,3,1,Robust/Non-Frail,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.7,3,participant_oof_per_repeat
b32_lr1e-3,3,2,Young,0.5,1.0,0.8,0.9,0.6666666666666666,1.0,1.0,1,participant_oof_per_repeat
b32_lr1e-3,4,0,Pre-Frail,0.5,0.5,0.75,0.625,0.5,0.875,0.8333333333333333,2,participant_oof_per_repeat
b32_lr1e-3,4,1,Robust/Non-Frail,0.5,0.5,0.75,0.625,0.5,0.625,0.7,2,participant_oof_per_repeat
b32_lr1e-3,4,2,Young,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,participant_oof_per_repeat
