source_study,classifier_id,case_id,config_name,model,resolved_model,class_label,metric_scope,expected_repeat_count,split_seeds,precision_n_repeats_available,precision_mean,precision_sample_sd,precision_repeat_t_ci95_low,precision_repeat_t_ci95_high,precision_repeat_t_ci95_method,precision_applicability,sensitivity_n_repeats_available,sensitivity_mean,sensitivity_sample_sd,sensitivity_repeat_t_ci95_low,sensitivity_repeat_t_ci95_high,sensitivity_repeat_t_ci95_method,sensitivity_applicability,specificity_n_repeats_available,specificity_mean,specificity_sample_sd,specificity_repeat_t_ci95_low,specificity_repeat_t_ci95_high,specificity_repeat_t_ci95_method,specificity_applicability,balanced_accuracy_n_repeats_available,balanced_accuracy_mean,balanced_accuracy_sample_sd,balanced_accuracy_repeat_t_ci95_low,balanced_accuracy_repeat_t_ci95_high,balanced_accuracy_repeat_t_ci95_method,balanced_accuracy_applicability,f1_n_repeats_available,f1_mean,f1_sample_sd,f1_repeat_t_ci95_low,f1_repeat_t_ci95_high,f1_repeat_t_ci95_method,f1_applicability,support_n_repeats_available,support_mean,support_sample_sd,support_repeat_t_ci95_low,support_repeat_t_ci95_high,support_repeat_t_ci95_method,support_applicability,predicted_support_n_repeats_available,predicted_support_mean,predicted_support_sample_sd,predicted_support_repeat_t_ci95_low,predicted_support_repeat_t_ci95_high,predicted_support_repeat_t_ci95_method,predicted_support_applicability,true_positive_n_repeats_available,true_positive_mean,true_positive_sample_sd,true_positive_repeat_t_ci95_low,true_positive_repeat_t_ci95_high,true_positive_repeat_t_ci95_method,true_positive_applicability,false_positive_n_repeats_available,false_positive_mean,false_positive_sample_sd,false_positive_repeat_t_ci95_low,false_positive_repeat_t_ci95_high,false_positive_repeat_t_ci95_method,false_positive_applicability,false_negative_n_repeats_available,false_negative_mean,false_negative_sample_sd,false_negative_repeat_t_ci95_low,false_negative_repeat_t_ci95_high,false_negative_repeat_t_ci95_method,false_negative_applicability,true_negative_n_repeats_available,true_negative_mean,true_negative_sample_sd,true_negative_repeat_t_ci95_low,true_negative_repeat_t_ci95_high,true_negative_repeat_t_ci95_method,true_negative_applicability,roc_auc,pr_auc,confusion_count_applicability,roc_auc_applicability,pr_auc_applicability
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5181818181818182,0.07496555682941199,0.4250997851614388,0.6112638512021975,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.6222222222222221,0.09938079899999065,0.49882466199120884,0.7456197824532353,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.74,0.04183300132670382,0.6880574683158215,0.7919425316841785,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6811111111111112,0.06338569959841296,0.602407369918803,0.7598148523034195,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5648120300751879,0.08313355365792793,0.4615880894553977,0.668035970694978,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,10.8,0.8366600265340756,9.761149366316431,11.83885063368357,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,0.8944271909999157,4.4894219579208805,6.710578042079119,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.2,0.8366600265340756,4.1611493663164305,6.23885063368357,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.4,0.8944271909999161,2.2894219579208803,4.5105780420791195,two_sided_student_t_0.95,available_all_five_archived_repeats,5,14.8,0.8366600265340756,13.761149366316431,15.83885063368357,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5170862470862472,0.09428557221299222,0.4000152465193333,0.6341572476531611,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.4666666666666667,0.1263812574008592,0.30974360930429645,0.6235897240290369,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.6941176470588235,0.07669649888473701,0.5988863656053702,0.7893489285122768,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.580392156862745,0.07636288921769005,0.4855751065223167,0.6752092072031733,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.48732279314888016,0.10602346684833207,0.35567727139855565,0.6189683148992047,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,10.8,1.9235384061671346,8.411611611900016,13.188388388099986,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,1.51657508881031,3.716923311651558,7.483076688348442,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.2,1.3038404810405297,3.581068215291294,6.818931784708706,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.4,1.51657508881031,4.516923311651558,8.283076688348443,two_sided_student_t_0.95,available_all_five_archived_repeats,5,11.8,1.3038404810405297,10.181068215291294,13.418931784708708,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_001,s1_001,main_effect_baseline-wd0p005_do0p5_ls0p2_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,young,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5561904761904761,0.13029706160554252,0.3944053057231357,0.7179756466578165,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.5,0.08838834764831845,0.39025137086436446,0.6097486291356355,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.8380952380952381,0.07968190728895956,0.7391570825063267,0.9370333936841495,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6690476190476191,0.06545589512296963,0.5877733906032262,0.750321847492012,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5222222222222223,0.0982333234715289,0.4002494410437198,0.6441950034007247,two_sided_student_t_0.95,available_all_five_archived_repeats,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,7.4,1.6733200530681511,5.322298732632861,9.47770126736714,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.0,0.7071067811865476,3.1220109669149156,4.877989033085084,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.4,1.6733200530681511,1.3222987326328606,5.47770126736714,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.0,0.7071067811865476,3.1220109669149156,4.877989033085084,two_sided_student_t_0.95,available_all_five_archived_repeats,5,17.6,1.6733200530681511,15.522298732632862,19.67770126736714,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_002,s1_002,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5655011655011656,0.12586913462434313,0.40921399255305557,0.7217883384492756,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.6888888888888889,0.12171612389003689,0.5377583598537207,0.8400194179240571,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.75,0.09354143466934854,0.6338529682307403,0.8661470317692597,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.7194444444444444,0.08532345863004258,0.6135013776612921,0.8253875112275968,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6161548255665903,0.10277360135622912,0.4885445447968148,0.7437651063363657,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,11.2,1.9235384061671343,8.811611611900014,13.588388388099984,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.2,1.0954451150103321,4.839825238683487,7.560174761316514,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.0,1.8708286933869707,2.6770593646148058,7.322940635385194,two_sided_student_t_0.95,available_all_five_archived_repeats,5,2.8,1.0954451150103321,1.439825238683486,4.160174761316513,two_sided_student_t_0.95,available_all_five_archived_repeats,5,15.0,1.8708286933869707,12.677059364614806,17.322940635385194,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_002,s1_002,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5452380952380953,0.08203063417596292,0.4433836100319787,0.6470925804442119,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.4833333333333333,0.14907119849998599,0.2982369929868134,0.6684296736798532,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7176470588235294,0.07669649888473701,0.6224157773700761,0.8128783402769827,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6004901960784313,0.06853986006916452,0.5153867193886259,0.6855936727682368,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.505772297877561,0.10838046503333341,0.3712001763370887,0.6403444194180332,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,10.6,2.6076809620810595,7.362136430582587,13.837863569417411,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.8,1.788854381999832,3.5788439158417606,8.021156084158239,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.8,1.3038404810405297,3.1810682152912935,6.418931784708706,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.2,1.788854381999832,3.978843915841761,8.42115608415824,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.2,1.3038404810405297,10.581068215291292,13.818931784708706,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_002,s1_002,main_effect_weight_decay-0p001_lr0.001_wd0.001_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,young,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5936507936507937,0.10384398243680082,0.4647114592289138,0.7225901280726734,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.525,0.05590169943749474,0.4555888723700551,0.594411127629945,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.8571428571428571,0.05832118435198045,0.7847275422003981,0.9295581720853161,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6910714285714287,0.048740514514129196,0.6305520864453062,0.7515907706975511,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5550700280112044,0.07211718379427072,0.4655247172420144,0.6446153387803945,two_sided_student_t_0.95,available_all_five_archived_repeats,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,7.2,1.0954451150103321,5.839825238683487,8.560174761316514,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.2,0.4472135954999579,3.6447109789604406,4.75528902103956,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.0,1.224744871391589,1.479278386208362,4.520721613791638,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.8,0.4472135954999579,3.2447109789604403,4.355289021039559,two_sided_student_t_0.95,available_all_five_archived_repeats,5,18.0,1.224744871391589,16.479278386208364,19.520721613791636,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_003,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5349650349650349,0.0834422731616007,0.4313577684519909,0.6385723014780789,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.711111111111111,0.09938079899999065,0.5877135508800978,0.8345086713421243,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7200000000000001,0.05700877125495691,0.6492142611508863,0.7907857388491139,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.7155555555555557,0.07418799110834148,0.623438997897267,0.8076721132138445,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.61012987012987,0.0885985494609595,0.5001202409711208,0.7201394992886191,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.7071067811865476,11.122010966914916,12.877989033085084,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.4,0.8944271909999159,5.289421957920881,7.5105780420791195,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,1.1401754250991378,4.184285223017725,7.015714776982274,two_sided_student_t_0.95,available_all_five_archived_repeats,5,2.6,0.8944271909999159,1.4894219579208807,3.7105780420791197,two_sided_student_t_0.95,available_all_five_archived_repeats,5,14.4,1.1401754250991378,12.984285223017725,15.815714776982276,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_003,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5624242424242424,0.1228413237362067,0.4098965932493007,0.714951891599184,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.45,0.11180339887498951,0.31117774474011006,0.58882225525989,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7529411764705882,0.07669649888473701,0.657709895017135,0.8481724579240415,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6014705882352941,0.08539125638299663,0.4954433394231396,0.7074978370474486,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.49863354037267077,0.11484269370910098,0.3560375021373379,0.6412295786080036,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.6,1.140175425099138,8.184285223017724,11.015714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.4,1.3416407864998738,3.734132936881321,7.065867063118679,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.2,1.3038404810405297,2.581068215291294,5.818931784708706,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.6,1.3416407864998738,4.934132936881321,8.265867063118678,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.8,1.3038404810405297,11.181068215291294,14.418931784708708,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_003,s1_003,main_effect_weight_decay-0p002_lr0.001_wd0.002_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,young,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.6043650793650793,0.1037415740430674,0.47555290175881215,0.7331772569713465,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.55,0.06846531968814576,0.46498907741771794,0.6350109225822822,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.8571428571428571,0.05832118435198045,0.7847275422003981,0.9295581720853161,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.7035714285714286,0.05259527312508264,0.6382657714563194,0.7688770856865379,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5734033613445377,0.0767149175925805,0.47814921004466177,0.6686575126444136,two_sided_student_t_0.95,available_all_five_archived_repeats,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,7.4,1.140175425099138,5.984285223017725,8.815714776982276,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.4,0.5477225575051661,3.7199126193417436,5.080087380658258,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.0,1.224744871391589,1.479278386208362,4.520721613791638,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.6,0.5477225575051661,2.9199126193417433,4.280087380658257,two_sided_student_t_0.95,available_all_five_archived_repeats,5,18.0,1.224744871391589,16.479278386208364,19.520721613791636,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_004,s1_004,main_effect_weight_decay-0p01_lr0.001_wd0.01_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5303113553113553,0.0783531810099999,0.43302303130649544,0.6275996793162152,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.6888888888888889,0.14487116456005883,0.5090075794768104,0.8687701983009674,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7200000000000001,0.0758287544405155,0.625846165582578,0.8141538344174222,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.7044444444444444,0.07083605659253091,0.6164898631987742,0.7923990256901147,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5935740304026749,0.08146888979635222,0.49241704296891414,0.6947310178364356,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,11.8,2.2803508501982757,8.968570446035452,14.63142955396455,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.2,1.3038404810405297,4.581068215291294,7.818931784708706,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,1.51657508881031,3.716923311651558,7.483076688348442,two_sided_student_t_0.95,available_all_five_archived_repeats,5,2.8,1.3038404810405297,1.1810682152912935,4.418931784708706,two_sided_student_t_0.95,available_all_five_archived_repeats,5,14.4,1.51657508881031,12.516923311651558,16.28307668834844,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_004,s1_004,main_effect_weight_decay-0p01_lr0.001_wd0.01_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5796869796869796,0.13723521067600425,0.40928695930467596,0.7500870000692832,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.5,0.13176156917368248,0.33639640321020325,0.6636035967897967,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7294117647058824,0.12197906678428068,0.5779547489453483,0.8808687804664166,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6147058823529411,0.08977750810291395,0.5032323826931059,0.7261793820127763,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5291140895717554,0.10944554621471915,0.39321949507319215,0.6650086840703187,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,10.6,2.6076809620810595,7.362136430582587,13.837863569417411,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.0,1.5811388300841898,4.0367568385224395,7.9632431614775605,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.6,2.073644135332772,2.0252307320709177,7.174769267929081,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.0,1.5811388300841898,4.0367568385224395,7.9632431614775605,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.4,2.073644135332772,9.825230732070919,14.974769267929082,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_004,s1_004,main_effect_weight_decay-0p01_lr0.001_wd0.01_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,young,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5428571428571429,0.095831484749991,0.42386663834866584,0.6618476473656201,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.45,0.14252192813739226,0.27303565287721565,0.6269643471227844,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.8571428571428571,0.047619047619047616,0.7980160000855349,0.9162697142001793,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.6535714285714287,0.07000693397791866,0.5666463390264191,0.7404965181164382,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.48571428571428565,0.12210363242817224,0.33410260127831826,0.637325970150253,two_sided_student_t_0.95,available_all_five_archived_repeats,5,8.0,0.0,8.0,8.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.6,1.6733200530681511,4.52229873263286,8.677701267367139,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.6,1.140175425099138,2.184285223017725,5.015714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,3.0,1.0,1.7583360017962335,4.241663998203767,two_sided_student_t_0.95,available_all_five_archived_repeats,5,4.4,1.140175425099138,2.9842852230177255,5.815714776982276,two_sided_student_t_0.95,available_all_five_archived_repeats,5,18.0,1.0,16.758336001796234,19.241663998203766,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_005,s1_005,main_effect_weight_decay-0p02_lr0.001_wd0.02_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,pre_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.5364801864801865,0.1155666549216408,0.39298523167114696,0.679975141289226,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.711111111111111,0.12668615834434865,0.5538094692241916,0.8684127529980304,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7200000000000001,0.0758287544405155,0.625846165582578,0.8141538344174222,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.7155555555555557,0.09876943471827658,0.5929171043429345,0.8381940067681769,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.611082251082251,0.12007256540473982,0.4619924694472185,0.7601720327172835,two_sided_student_t_0.95,available_all_five_archived_repeats,5,9.0,0.0,9.0,9.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.7071067811865476,11.122010966914916,12.877989033085084,two_sided_student_t_0.95,available_all_five_archived_repeats,5,6.4,1.1401754250991378,4.984285223017726,7.815714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.6,1.51657508881031,3.716923311651558,7.483076688348442,two_sided_student_t_0.95,available_all_five_archived_repeats,5,2.6,1.140175425099138,1.1842852230177252,4.015714776982275,two_sided_student_t_0.95,available_all_five_archived_repeats,5,14.4,1.51657508881031,12.516923311651558,16.28307668834844,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
20260625_2320_overfitting_sweep_stage1_rank2,20260625_2320_overfitting_sweep_stage1_rank2::s1_005,s1_005,main_effect_weight_decay-0p02_lr0.001_wd0.02_do0.5_ls0.2_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,inceptiontime,inception_time,robust_non_frail,participant_hard_label_archived_repeat,5,"42,10042,20042,30042,40042",5,0.49682539682539684,0.10645204634888433,0.3646477233388684,0.6290030703119253,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.4166666666666667,0.1317615691736825,0.2530630698768699,0.5802702634564635,two_sided_student_t_0.95,available_all_five_archived_repeats,5,0.7058823529411764,0.08318903308077025,0.6025895255194018,0.809175180362951,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.5612745098039216,0.08175039254979372,0.4597679905358173,0.6627810290720259,two_sided_student_t_0.95,available_all_five_archived_subject_confusion_matrices,5,0.4497003378010243,0.11918659315900165,0.3017106360069326,0.597690039595116,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,0.0,12.0,12.0,two_sided_student_t_0.95,available_all_five_archived_repeats,5,10.0,2.0,7.516672003592467,12.483327996407533,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.0,1.5811388300841898,3.0367568385224395,6.9632431614775605,two_sided_student_t_0.95,available_all_five_archived_repeats,5,5.0,1.4142135623730951,3.2440219338298313,6.755978066170169,two_sided_student_t_0.95,available_all_five_archived_repeats,5,7.0,1.5811388300841898,5.0367568385224395,8.96324316147756,two_sided_student_t_0.95,available_all_five_archived_repeats,5,12.0,1.4142135623730951,10.244021933829831,13.755978066170169,two_sided_student_t_0.95,available_all_five_archived_repeats,,,available_all_five_archived_subject_confusion_matrices,N/A_probability_level_participant_oof_not_archived,N/A_probability_level_participant_oof_not_archived
